filename	sample_name	description	sample_type_common	dna_extracted	fermented	fermentation_day	371	2813	659	111243	8345	2627	1453	594	131	2550	162573	187158	340197
G72462_10x_BF7_01_17855.mzXML	11442.G72462	Country potato white bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72463_p1_g7_GD4_01_21938.mzXML	11442.G72463	Borodinsky rye bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72481_5x_rerun_10ul_RD2_01_19581.mzXML	11442.G72481	sourdough loaf (Whole foods)	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72767_BG7_01_19040.mzXML	11442.G72767	Wheat bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72782_10x_BF3_01_17851.mzXML	11442.G72782	sandwich bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G73468_5x_rerun_10ul_RA6_01_19584.mzXML	11442.G73468	rye bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G73995_5x_RC3_01_19489.mzXML	11442.G73995	bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G74019_5x_RB3_01_19487.mzXML	11442.G74019	bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G75691_2x_RC6_01_19130.mzXML	11442.G75691	bread roll	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G78804_1x_BF7_01_19543.mzXML	11442.G78804	bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G78974_2x_RA11_01_19107.mzXML	11442.G78974	Whole grain bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G79251_1x_BF9_01_20221.mzXML	11442.G79251	steak crostini bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G83202_5x_RD7_01_21446.mzXML	11442.G83202	crust of multigrain loaf from wholefoods	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G86753_1x_BB7_01_23140.mzXML	11442.G86753	multi-grain bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G86789_1x_BA3_01_23117.mzXML	11442.G86789	boston sourdough loaf, white part of bread, from whole foods la jolla	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G86894_1x_BA11_01_23126.mzXML	11442.G86894	Organic Paesano Bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G87348_RD5_01_26115.mzXML	11442.G87348	Pandoro	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G87408_1x_BD5_01_26032.mzXML	11442.G87408	grissini	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G87410_1x_BD4_01_26031.mzXML	11442.G87410	panettone classic	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G87451_1x_BD2_01_26029.mzXML	11442.G87451	sliced bread	bread	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
RB9_tk2_RB9_01_49122.mzXML	F19_black.bread	black.bread	bread	not entered	yes	not applicable	0	0	0	0	0	0	0	0	0	1	0	0	0
RC2_RC2_01_49079.mzXML	F23_white.bread	white.bread	bread	not entered	yes	not applicable	0	0	0	0	0	0	0	0	0	0	0	0	0
G79270_5x_BG2_01_20035.mzXML	11442.G79270	plain bread crumbs	bread crumbs	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G86825_1x_BA6_01_23120.mzXML	11442.G86825	Japanese Style Panko Breadcrumbs	bread crumbs	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
15NAVY01_v1_sup_3_rerun_GF4_01_39663.mzXML	15NAVY01_v1_sup_3	**Roll, WHEAT, Aspen 4/15	bread roll	FALSE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G73999_5x_10ul_RG3_01_19552.mzXML	11442.G73999	bread - rosinen broetchen	bread roll	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
74058_1x_BF2_01_21383.mzXML	11442.G74058	california kimchi brine	brine	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
74059_1x_BG2_01_20767.mzXML	11442.G74059	silly dilly kraut brine	brine	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G75728_1x_10ul_RA6_01_18504.mzXML	11442.G75728	pickled watermelon juice	brine	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G75727_1x_10ul_RC9_01_18535.mzXML	11442.G75727	champagne	brut	TRUE	yes	yellow	0	0	0	0	0	0	0	0	0	0	0	0	0
G74068_1x_10ul_RC7_01_18530.mzXML	11442.G74068	red wine, cabernet sauvignon	cabernet sauvignon	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G74063_1x_RF4_01_18569.mzXML	11442.G74063	Chateau Ste Michelle red wine	cabernet sauvignon	TRUE	yes	red	0	0	0	0	0	0	0	0	0	1	0	0	0
G75252_1x_RH9_01_18601.mzXML	11442.G75252	Kinsella estates wine 3 a from bottle; b from glass, undrunk; cabernet sauvignon 2012	cabernet sauvignon	TRUE	yes	red	0	0	0	0	0	0	0	0	0	1	0	0	0
G75257_1x_RB10_01_18618.mzXML	11442.G75257	Palmaz vineyards Wine 2.; cabernet sauvignon	cabernet sauvignon	TRUE	yes	red	0	0	0	0	0	1	0	0	0	0	0	0	0
G86915_1x_rerun_BD6_01_26611.mzXML	11442.G86915	havarti cheese (sampled 1/23 frozen 1/25 8:30AM)	cheese	TRUE	yes	microbial rennet	0	0	0	0	0	0	0	0	0	0	0	0	0
16NAVY10_v2_lun_5_GH10_01_39655.mzXML	16NAVY10_v2_lun_5	**Cheese American, sliced 11/22	cheese	FALSE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72473_5x_BA12_01_18267.mzXML	11442.G72473	dubliner cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G72642_5x_BA6_01_18261.mzXML	11442.G72642	Flagship reserve	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G72643_5x_BE4_01_18315.mzXML	11442.G72643	stilton colston basset	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G72644_5x_BF7_01_18332.mzXML	11442.G72644	stilton colston basset	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G72645_5x_BD10_01_18307.mzXML	11442.G72645	taleggio	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72646_5x_BE8_01_18319.mzXML	11442.G72646	taleggio	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72647_5x_BC9_01_18292.mzXML	11442.G72647	stinking bishop	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72648_5x_BH7_01_18405.mzXML	11442.G72648	stinking bishop	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72649_5x_BB2_01_18271.mzXML	11442.G72649	honey bee goat gouda	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G72650_5x_BC3_01_18286.mzXML	11442.G72650	lambchopper	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G72651_5x_BC5_01_18288.mzXML	11442.G72651	le petit basque	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72652_5x_BG4_01_18388.mzXML	11442.G72652	tomme brulee	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72653_5x_BC8_01_18291.mzXML	11442.G72653	Flagship reserve	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G72655_5x_BG5_01_18389.mzXML	11442.G72655	shropshire	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G72656_5x_BE3_01_18314.mzXML	11442.G72656	erborinato san carione	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G72668_5x_BH6_01_18404.mzXML	11442.G72668	Kraft Reduced fat Parmesan cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72703_10x_BB10_01_17892.mzXML	11442.G72703	Cheese, iberico, Trader Joe's	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72704_10x_5uL_rerun_BA10_01_17908.mzXML	11442.G72704	Cheese, manchego, Trader Joe's	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72712_10x_BE9_01_17845.mzXML	11442.G72712	red wine cheese Costco sample Queso de Murcia al Vino Palacares	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72713_10x_BF9_01_17857.mzXML	11442.G72713	cheese sample, Costco Marin French Cheese; brie	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72727_5x_BH9_01_18407.mzXML	11442.G72727	Ol Sciur	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G72728_5x_BA9_01_18264.mzXML	11442.G72728	not collected	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72729_5x_BA10_01_18265.mzXML	11442.G72729	memoire	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72730_5x_BD6_01_18303.mzXML	11442.G72730	moliterno	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72731_5x_BH10_01_18408.mzXML	11442.G72731	Boschetto	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72749_10x_BG2_01_17920.mzXML	11442.G72749	cheese, organic cheddar, Costco	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72777_5x_BB12_01_18281.mzXML	11442.G72777	midnight moon cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
G72792_5x_BE10_01_18321.mzXML	11442.G72792	Sonoma Jack Hot Pepper Jack Cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G72793_5x_BA7_01_18262.mzXML	11442.G72793	Sonoma Jack Traditional Jack Cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72794_5x_BB4_01_18273.mzXML	11442.G72794	Sonoma Jack Cheddar Cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G72795_5x_BF10_01_18335.mzXML	11442.G72795	Sonoma Jack Garlic Jack Cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G73469_5x_BE9_01_18320.mzXML	11442.G73469	blue cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	1	0	0
G73638_5x_10ul_BH9_01_19760.mzXML	11442.G73638	cheese, CMI workshop	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G73649_5x_BA8_01_18263.mzXML	11442.G73649	bianco sardo	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G73651_5x_BE6_01_18317.mzXML	11442.G73651	Cahil Porter	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G73652_5x_BB7_01_18276.mzXML	11442.G73652	Red Dragon	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	0	0	0	0
G73653_5x_BG8_01_18392.mzXML	11442.G73653	cheddar cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	0	0	0
G73654_5x_BD8_01_18305.mzXML	11442.G73654	cheddar cheese	cheese	TRUE	yes	none	0	0	0	0	0	0	0	0	0	1	1	0	0
